filename,path,duration,sample_rate,channels
Tongatong_03_Open_den(4).wav,preprocessing\Tongatong_03_Open_den(4).wav,0.85275,48000,1
Tongatong_03_Open_den(5).wav,preprocessing\Tongatong_03_Open_den(5).wav,0.86875,48000,1
Tongatong_03_Open_den(6).wav,preprocessing\Tongatong_03_Open_den(6).wav,0.7557916666666666,48000,1
Tongatong_03_Open_den(7).wav,preprocessing\Tongatong_03_Open_den(7).wav,0.9245,48000,1
Tongatong_03_Open_den(8).wav,preprocessing\Tongatong_03_Open_den(8).wav,0.9241458333333333,48000,1
Tongatong_04_Closed_den(2).wav,preprocessing\Tongatong_04_Closed_den(2).wav,0.4460208333333333,48000,1
Tongatong_04_Closed_den(3).wav,preprocessing\Tongatong_04_Closed_den(3).wav,0.5640208333333333,48000,1
Tongatong_04_Closed_den(4).wav,preprocessing\Tongatong_04_Closed_den(4).wav,0.5720833333333334,48000,1
Tongatong_04_Closed_den(5).wav,preprocessing\Tongatong_04_Closed_den(5).wav,0.59225,48000,1
Tongatong_04_Closed_den(6).wav,preprocessing\Tongatong_04_Closed_den(6).wav,0.6458125,48000,1
Tongatong_04_Closed_den(7).wav,preprocessing\Tongatong_04_Closed_den(7).wav,0.6281458333333333,48000,1
Tongatong_04_Open_den(2).wav,preprocessing\Tongatong_04_Open_den(2).wav,0.6749791666666667,48000,1
Tongatong_04_Open_den(3).wav,preprocessing\Tongatong_04_Open_den(3).wav,0.635625,48000,1
Tongatong_04_Open_den(4).wav,preprocessing\Tongatong_04_Open_den(4).wav,0.6300416666666667,48000,1
Tongatong_04_Open_den(5).wav,preprocessing\Tongatong_04_Open_den(5).wav,0.6858958333333334,48000,1
Tongatong_04_Open_den(6).wav,preprocessing\Tongatong_04_Open_den(6).wav,0.80375,48000,1
Tongatong_04_Open_den(7).wav,preprocessing\Tongatong_04_Open_den(7).wav,0.7375416666666667,48000,1
Tongatong_04_Open_den(8).wav,preprocessing\Tongatong_04_Open_den(8).wav,0.8260833333333333,48000,1
Tongatong_04_Open_den(9).wav,preprocessing\Tongatong_04_Open_den(9).wav,0.7177291666666666,48000,1
Tongatong_05_Closed_den(2).wav,preprocessing\Tongatong_05_Closed_den(2).wav,0.5060625,48000,1
Tongatong_05_Closed_den(3).wav,preprocessing\Tongatong_05_Closed_den(3).wav,0.5099583333333333,48000,1
Tongatong_05_Closed_den(4).wav,preprocessing\Tongatong_05_Closed_den(4).wav,0.6247291666666667,48000,1
Tongatong_05_Closed_den(5).wav,preprocessing\Tongatong_05_Closed_den(5).wav,1.0215208333333334,48000,1
Tongatong_05_Closed_den(6).wav,preprocessing\Tongatong_05_Closed_den(6).wav,0.9169375,48000,1
Tongatong_05_Closed_den(7).wav,preprocessing\Tongatong_05_Closed_den(7).wav,0.8053333333333333,48000,1
Tongatong_05_Closed_den(8).wav,preprocessing\Tongatong_05_Closed_den(8).wav,0.7688958333333333,48000,1
Tongatong_05_Open_den(2).wav,preprocessing\Tongatong_05_Open_den(2).wav,0.6675208333333333,48000,1
Tongatong_05_Open_den(3).wav,preprocessing\Tongatong_05_Open_den(3).wav,0.6494583333333334,48000,1
Tongatong_05_Open_den(4).wav,preprocessing\Tongatong_05_Open_den(4).wav,0.6665833333333333,48000,1
Tongatong_05_Open_den(5).wav,preprocessing\Tongatong_05_Open_den(5).wav,0.6605833333333333,48000,1
Tongatong_05_Open_den(6).wav,preprocessing\Tongatong_05_Open_den(6).wav,0.7426041666666666,48000,1
Tongatong_05_Open_den(7).wav,preprocessing\Tongatong_05_Open_den(7).wav,0.7302083333333333,48000,1
